s_i,a_i,s_i+1,r_i
"[300.00002638974547,0.0005305806692872418,0.005285199985206239,0.10632765093956209,2.815158466212975e-07,0.011305569354325359]","[0,0]","[300.00002638974547,0.0005305806692872418,0.005285199985206239,0.10632765093956209,2.815158466212975e-07,0.011305569354325359]",1
"[300.00003228508626,0.0005848172375225558,0.006466618328979151,0.11722301519420389,3.420112013035135e-07,0.013741235291220556]","[0,0]","[300.00003228508626,0.0005848172375225558,0.006466618328979151,0.11722301519420389,3.420112013035135e-07,0.013741235291220556]",1
"[300.0000387830556,0.0006393897217847931,0.007769096275581417,0.12819380539804356,4.088192163240352e-07,0.016433651742431464]","[0,0]","[300.0000387830556,0.0006393897217847931,0.007769096275581417,0.12819380539804356,4.088192163240352e-07,0.016433651742431464]",1
"[300.0000458873858,0.000694328443089635,0.009193471891115234,0.13924705914800484,4.820919868832765e-07,0.019389743481367957]","[0,0]","[300.0000458873858,0.000694328443089635,0.009193471891115234,0.13924705914800484,4.820919868832765e-07,0.019389743481367957]",1
"[300.0000536021463,0.0007496636702035653,0.010740661437204176,0.1503898611338216,5.619956184230799e-07,0.022617110331850147]","[0,0]","[300.0000536021463,0.0007496636702035653,0.010740661437204176,0.1503898611338216,5.619956184230799e-07,0.022617110331850147]",1
"[300.0000619317426,0.0008054256072521433,0.012411659894246639,0.16162934703591253,6.487104088174839e-07,0.026124045823255445]","[0,0]","[300.0000619317426,0.0008054256072521433,0.012411659894246639,0.16162934703591253,6.487104088174839e-07,0.026124045823255445]",1
"[300.00007088091604,0.0008616443794775202,0.014207541527979,0.1729727074137535,7.424310366852009e-07,0.02991955751004398]","[0,0]","[300.00007088091604,0.0008616443794775202,0.014207541527979,0.1729727074137535,7.424310366852009e-07,0.02991955751004398]",1
"[300.0000804547425,0.000918350016963403,0.016129460499242926,0.1844271915827536,8.433667536566826e-07,0.03401338899510171]","[0,0]","[300.0000804547425,0.000918350016963403,0.016129460499242926,0.1844271915827536,8.433667536566826e-07,0.03401338899510171]",1
"[300.00009065863156,0.0009755724361057157,0.018178651516829077,0.196000111477627,9.517415780892408e-07,0.03841604369924221]","[0,0]","[300.00009065863156,0.0009755724361057157,0.018178651516829077,0.196000111477627,9.517415780892408e-07,0.03841604369924221]",1
"[300.0001014983253,0.0010333414186179258,0.020356430533247153,0.20769884549974305,1.0677944874313075e-06,0.04313881042192613]","[0,0]","[300.0001014983253,0.0010333414186179258,0.020356430533247153,0.20769884549974305,1.0677944874313075e-06,0.04313881042192613]",1
"[300.00011297989664,0.0010916865878305077,0.022664195483244297,0.21953084234575768,1.1917796060490168e-06,0.04819379074103791]","[0,0]","[300.00011297989664,0.0010916865878305077,0.022664195483244297,0.21953084234575768,1.1917796060490168e-06,0.04819379074103791]",1
"[300.00012510974756,0.001150637382037276,0.025103427064863827,0.231503624814398,1.3239663849415965e-06,0.05359392830220556]","[0,0]","[300.00012510974756,0.001150637382037276,0.025103427064863827,0.231503624814398,1.3239663849415965e-06,0.05359392830220556]",1
"[300.00013789460735,0.0012102230246266554,0.027675689562801583,0.24362479358786937,1.46463976933649e-06,0.059353040050731956]","[0,0]","[300.00013789460735,0.0012102230246266554,0.027675689562801583,0.24362479358786937,1.46463976933649e-06,0.059353040050731956]",1
"[300.00015134152983,0.0012704724907115542,0.03038263171377791,0.2559020309839986,1.6141003496548202e-06,0.06548584946173538]","[0,0]","[300.00015134152983,0.0012704724907115542,0.03038263171377791,0.2559020309839986,1.6141003496548202e-06,0.06548584946173538]",1
"[300.00016545789083,0.0013314144699579696,0.033225987613600114,0.26834310467471917,1.7726644908134611e-06,0.07200802182646729]","[0,0]","[300.00016545789083,0.0013314144699579696,0.033225987613600114,0.26834310467471917,1.7726644908134611e-06,0.07200802182646729]",1
